"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"ge5EIwMfYJP","MOH - Uganda","Karamoja","Napak District","Ngoleriet Subcounty","Ngoleriet HC II","Ngoleriet HC II",141740,87,2022,48,5141.7,39569.7499999998,34428.0499999998,1
"gid2cWEy2rv","MOH - Uganda","Busoga","Mayuge District","Imanyiro Subcounty","Bufulubi Prison HC II","Bufulubi Prison HC II",327240,72,2022,25,1440,111121,109681,1
"gtVTKwveKEE","MOH - Uganda","Acholi","Gulu District","Paibona Subcounty","Paibona HC II","Paibona HC II",188846,102,2022,41,2219.7,51442.7999999994,49223.0999999994,1
"h6mBc3T03Ze","MOH - Uganda","Karamoja","Kotido District","Kacheri Subcounty","Lokiding HC II","Lokiding HC II",486600,NA,2022,52,1221.3,80991,79769.7,1
"h7tdk6J0nEk","MOH - Uganda","South Central","Rakai District","Kiziba Subcounty (Rakai District)","Lukerere HC II","Lukerere HC II",864000,94,2022,39,23812.9,128268,104455.1,1
"hAdnePvF54E","MOH - Uganda","Ankole","Mbarara City","Biharwe Subcounty","Biharwe (Nyabuhama) HC III","Biharwe (Nyabuhama) HC III",955540,22,2022,9,850.5,95540,94689.5,1
"hBhHjc3o6Fa","MOH - Uganda","South Central","Rakai District","Kyalulangira Subcounty","Kyalulangira HC III","Kyalulangira HC III",992780,162,2022,7,54202.5,224435.65,170233.15,1
"hFO29Yr6ysA","MOH - Uganda","North Central","Mukono District","Mpatta Subcounty","Kabanga HC III","Kabanga HC III",333000,54,2022,44,2596.5,70200,67603.5,1
"hGZQdzp6xLI","MOH - Uganda","Bukedi","Tororo District","Magola Subcounty","Kayoro HC II","Kayoro HC II",431041,NA,2022,44,396,66785.4,66389.4,1
"hhlAmkWLbR2","MOH - Uganda","South Central","Kyotera District","Kyebe Subcounty","Gwanda HC II","Gwanda HC II",662280,15,2022,6,900,79200,78300,1
"hhz818sQTkO","MOH - Uganda","Acholi","Pader District","Atanga Subcounty","Lawiyeadul HC II","Lawiyeadul HC II",199440,86,2022,52,1782,80081.9999999996,78299.9999999996,1
"hmL6fXhBwaS","MOH - Uganda","West Nile","Adjumani District","Dzaipi Subcounty","Pagirinya HC III","Pagirinya HC III",1071280,347,2022,34,5370,422321.999999999,416951.999999999,1
"i783Z5CHxyj","MOH - Uganda","Lango","Oyam District","Aleka Subcounty","Abela HC II","Abela HC II",188289,151,2022,8,16553.625,83885.1749999995,67331.5499999995,1
