"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"JlWZ3wAo04I","MOH - Uganda","Ankole","Ntungamo District","Nyabihoko Subcounty","Karuruma HC III","Karuruma HC III",288980,55,2022,48,2610,108020,105410,1
"K97Ta0zw1QG","MOH - Uganda","Ankole","Rubirizi District","Katunguru Subcounty","Kashaka HC II","Kashaka HC II",199440,1,2022,43,6500,41283,34783,1
"KDkEBufisia","MOH - Uganda","Teso","Katakwi District","Palam Subcounty","Palam HC II","Palam HC II",506700,NA,2022,36,14425.2,113593.499999998,99168.2999999982,1
"KUFnXlL4bk3","MOH - Uganda","Kampala","Kampala District","Kawempe Division","Abii Clinic HC IV","Abii Clinic HC IV",4111,NA,2022,2,209,678,469,1
"KXlCdKDSE53","MOH - Uganda","Kampala","Kampala District","Nakawa Division","Lifelink (Ntinda) Hospital","Lifelink (Ntinda) Hospital",27668,27,2022,34,51,336,285,1
"KabGzoH7k7H","MOH - Uganda","Teso","Soroti District","Lalle Subcounty","Lalle HC II","Lalle HC II",990000,133,2022,52,2187,220770,218583,1
"KuCGJjeYQS4","MOH - Uganda","Tooro","Kasese District","Muhokya Subcounty","Muhokya HC III","Muhokya HC III",3960180,32,2022,34,2970,368576.2,365606.2,1
"LPJ8Gxge7ig","MOH - Uganda","Acholi","Gulu City","Gulu West","St. Philip HC II","St. Philip HC II",124480800,166,2022,36,5004,36153463.9999999,36148459.9999999,1
"LUBH6P4iI1O","MOH - Uganda","Busoga","Mayuge District","Bukatube Subcounty","Bukaleeba HC II","Bukaleeba HC II",313298,73,2022,35,540.05,75181.5499999992,74641.4999999992,1
"LVFyV61bpdi","MOH - Uganda","Busoga","Kamuli District","Southern Division (Kamuli MC)","Kamuli Hospital","Kamuli Hospital",51783120,348,2022,25,59413,3444340,3384927,1
"LjUZlO3qZce","MOH - Uganda","North Central","Kiboga District","Kyekumbya Subcounty","Buninga HC III","Buninga HC III",351900,92,2022,21,20592,109404.000000001,88812.0000000009,1
"Lq5bORbEZDi","MOH - Uganda","West Nile","Adjumani District","Ukusijoni Subcounty","Maaji A HC II","Maaji A HC II",289800,62,2022,51,34965,116347.5,81382.5,1
"Lrcueou5ksf","MOH - Uganda","Kampala","Kampala District","Rubaga Division","Milne Medical Centre HC II","Milne Medical Centre HC II",50060,12,2022,29,417.4,10330.6999999999,9913.29999999994,1
"M4MwhMwJhKx","MOH - Uganda","Bukedi","Kibuku District","Kakutu Subcounty","Lyama HC II","Lyama HC II",5750856,266,2022,39,251.1,493920,493668.9,1
"M8hfqf9VtRV","MOH - Uganda","West Nile","Koboko District","Southern Division (Koboko MC)","Koboko Prison HC II","Koboko Prison HC II",84640,20,2022,34,1097.6,15823.8,14726.2,1
"MH0SVcF6X2F","MOH - Uganda","North Central","Luwero District","Bombo Town Council","Bombo General Military Hospital","Bombo General Military Hospital",512633520,43,2022,13,1854.6,18232488,18230633.4,1
"MUxAV5pwDbk","MOH - Uganda","West Nile","Yumbe District","Kuru Subcounty","Yumbe Regional Referral Hospital","Yumbe Regional Referral Hospital",7584844,164,2022,11,43962,1332864,1288902,1
"MVYYKgICwep","MOH - Uganda","Lango","Alebtong District","Abia Subcounty","Oteno HC II","Oteno HC II",288000,78,2022,47,1440,82871.9999999991,81431.9999999991,1
"MZbJgNwxaTe","MOH - Uganda","Bunyoro","Kiryandongo District","Kiryandongo Subcounty","Kiroko HC II","Kiroko HC II",1000440,129,2022,28,19260,214902.000000001,195642.000000001,1
